,mass,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_mass,star_mass_error_min,star_mass_error_max
5415,0.93,0.08,0.08,1.34,0.07,0.07,5.842641,1.4999999999999999e-05,1.4999999999999999e-05,5707.0,127.51299999999999,127.51299999999999,1.158,0.01,0.01
5429,0.64,0.04,0.04,1.0,0.03,0.03,7.18585,1e-05,1e-05,5831.0,80.0,80.0,1.01,0.03,0.03
5439,0.63,0.08,0.08,1.55,0.05,0.05,3.39775,2e-06,2e-06,6091.0,110.0,110.0,1.37,0.34,0.34
5447,0.61,0.19,0.19,1.76,0.16,0.16,6.2034,0.01,0.01,4800.0,100.0,100.0,1.19,0.16,0.16
5454,0.7170000000000001,0.10400000000000001,0.10400000000000001,1.224,0.062,0.062,2.499387,4e-06,4e-06,5665.0,115.0,115.0,1.07,0.06,0.06
5457,0.975,0.07,0.083,1.6159999999999999,0.034,0.034,1.96229325,8.2e-07,8.2e-07,6280.0,100.0,100.0,1.1179999999999999,0.055999999999999994,0.055999999999999994
5458,0.71,0.26,0.26,1.3630000000000002,0.046,0.046,4.039708999999999,2.4e-06,2.4e-06,5721.0,88.0,88.0,0.977,0.049,0.063
5462,1.68,0.26,0.26,1.1740000000000002,0.027000000000000003,0.031,2.3505613999999997,2.5e-06,2.5e-06,5691.0,94.0,94.0,0.9359999999999999,0.040999999999999995,0.057
5464,0.62,0.1,0.1,1.466,0.032,0.043,3.9014971,3.1e-06,3.1e-06,5760.0,88.0,88.0,1.12,0.06,0.11
5468,0.665,0.025,0.025,1.0170000000000001,0.044000000000000004,0.044000000000000004,2.59261842,4.1e-07,4.1e-07,3388.0,68.0,68.0,0.3939,0.02,0.02
5471,0.5539999999999999,0.076,0.076,1.39,0.06,0.07,3.6525144999999997,3e-06,3e-06,5850.0,140.0,140.0,1.041,0.068,0.084
5476,1.67,0.013000000000000001,0.013000000000000001,1.091,0.038,0.038,5.8768918,6.900000000000001e-06,6.900000000000001e-06,5706.0,95.0,95.0,1.186,0.083,0.059000000000000004
5484,0.6890000000000001,0.03,0.03,0.9940000000000001,0.02,0.02,2.15484802,7.5e-07,7.5e-07,3660.0,90.0,90.0,0.53,0.02,0.02
5487,1.04,0.15,0.15,2.0,0.035,0.0,2.8989727000000003,3.9e-06,3.9e-06,5772.0,84.0,84.0,1.181,0.092,0.064
5488,1.11,0.2,0.2,1.172,0.036000000000000004,0.036000000000000004,3.2443141,5.5e-06,5.5e-06,5859.0,72.0,72.0,1.242,0.076,0.057
5507,0.73,0.14,0.14,1.1640000000000001,0.025,0.025,3.1774835,9.4e-07,9.4e-07,6060.0,67.0,74.0,1.178,0.042,0.039
5526,0.9570000000000001,0.09,0.09,1.35,0.08,0.08,4.378081,2e-05,2e-05,4974.0,57.0,57.0,1.36,0.08,0.08
5527,1.113,0.071,0.071,1.489,0.079,0.079,3.25352,2e-05,2e-05,6020.0,100.0,100.0,1.3719999999999999,0.105,0.037000000000000005
5533,0.794,0.04,0.04,1.183,0.045,0.064,2.8807197999999996,2.8e-06,2.8e-06,5640.0,82.0,89.0,1.056,0.063,0.059000000000000004
5548,1.49,0.13,0.13,1.06,0.06,0.07,9.955810000000001,8e-05,8e-05,4896.0,110.0,110.0,1.31,0.18,0.07
5565,0.67,0.14,0.14,0.7559999999999999,0.024,0.024,1.5227596,3.5e-07,3.5e-07,3390.0,120.0,120.0,0.335,0.008,0.008
5585,0.525,0.064,0.064,1.0590000000000002,0.02,0.02,1.2652328000000002,5e-07,5e-07,3350.0,200.0,100.0,0.369,0.09699999999999999,0.026000000000000002
5586,1.08,0.08,0.08,0.94,0.04,0.04,1.630731,3e-06,3e-06,3439.0,54.0,54.0,0.392,0.015,0.015
5587,0.799,0.359,0.39299999999999996,0.879,0.034,0.034,4.291452,4e-06,4e-06,4230.0,88.0,88.0,0.7390000000000001,0.03,0.03
